url,name,price,image,rate
https://www.amazon.com/Logitech-M570-Wireless-Trackball-Mouse/dp/B0043T7FXE/ref=sr_1_48?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-48,"Logitech M570 Wireless Trackball Mouse – Ergonomic Design with Sculpted Right-Hand Shape, Compatible with Apple Mac and Microsoft Windows Computers, USB Unifying Receiver, Dark Gray",,https://m.media-amazon.com/images/I/61QrqZ8uurL._AC_UY218_.jpg,4.5
https://www.amazon.com/Canon-PG245XL-CL246XL-Cartridge-MG3020/dp/B079Y6FHKJ/ref=sr_1_49?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-49,Canon PG-245 XL / CL-246 XL Amazon Pack,198.97,https://m.media-amazon.com/images/I/71bI78lhUUL._AC_UY218_.jpg,4.8
https://www.amazon.com/Canon-PG245XL-CL246XL-Cartridge-MG3020/dp/B079Y6FHKJ/ref=sr_1_49?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-49,Canon PG-245 XL / CL-246 XL Amazon Pack,,https://m.media-amazon.com/images/I/71bI78lhUUL._AC_UY218_.jpg,4.8
https://www.amazon.com/Sceptre-Edge-Less-FreeSync-DisplayPort-C275B-144RN/dp/B07N6ZBCVY/ref=sr_1_50?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-50,"Sceptre Curved 27"" 144Hz Gaming LED Monitor Frameless AMD Freesync Premium DisplayPort HDMI Build-in Speakers, Machine Black 2020 (C275B-144RN)",198.97,https://m.media-amazon.com/images/I/71HzU4MLuIL._AC_UY218_.jpg,4.5
https://www.amazon.com/Sceptre-Edge-Less-FreeSync-DisplayPort-C248B-144RN/dp/B07MTMCNLX/ref=sr_1_51?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-51,"Sceptre 24-Inch Curved 144Hz Gaming LED Monitor Edge-Less AMD FreeSync DisplayPort HDMI, Machine Black (C248B-144RN)",154.97,https://m.media-amazon.com/images/I/81VG9l7IC0L._AC_UY218_.jpg,4.6
https://www.amazon.com/Syntech-Adapter-Thunderbolt-Compatible-MacBook/dp/B07CVX3516/ref=sr_1_52?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-52,"Syntech USB C to USB Adapter (2 Pack), Thunderbolt 3 to USB 3.0 Adapter Compatible with MacBook Pro 2019 and Before, MacBook Air 2020, iPad Pro 2020, Dell XPS and More Type C Devices, Space Grey",9.99,https://m.media-amazon.com/images/I/71jtrs-Na+L._AC_UY218_.jpg,4.7
https://www.amazon.com/gcx/-/gfhz/events/?ref=aoy&categoryId=off-to-college&pinnedAsins=B07YFGG1SD,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, SD Card - SDSDUNR-128G-GN6IN",20.39,https://m.media-amazon.com/images/I/61EqthbVPKL._AC_UY218_.jpg,4.7
https://www.amazon.com/CyberPower-CP1500AVRLCD-Intelligent-Outlets-Mini-Tower/dp/B000FBK3QK/ref=sr_1_54?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-54,"CyberPower CP1500AVRLCD Intelligent LCD UPS System, 1500VA/900W, 12 Outlets, AVR, Mini-Tower",154.95,https://m.media-amazon.com/images/I/81-mW-JSH4L._AC_UY218_.jpg,4.5
https://www.amazon.com/NETGEAR-Wi-Fi-Range-Extender-EX3700/dp/B00R92CL5E/ref=sr_1_55?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-55,"NETGEAR WiFi Range Extender EX3700 - Coverage up to 1000 sq.ft. and 15 devices with AC750 Dual Band Wireless Signal Booster & Repeater (up to 750Mbps speed), and Compact Wall Plug Design",38.26,https://m.media-amazon.com/images/I/61z5oOk5fzL._AC_UY218_.jpg,3.8
https://www.amazon.com/Samsung-Chromebook-2-48GHz-Bluetooth-Operating/dp/B0757FYPBK/ref=sr_1_56?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-56,"Samsung 11.6"" Chromebook with Intel N3060 up to 2.48GHz, 4GB Memory, 16GB eMMC Flash Memory, Bluetooth 4.0, USB 3.0, HDMI, Webcam, Chrome Operating System",,https://m.media-amazon.com/images/I/71cMYeDo5eL._AC_UY218_.jpg,4.3
https://www.amazon.com/Cat-Ethernet-Cable-White-Connectors/dp/B00WD017GQ/ref=sr_1_57?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-57,"Cat 6 Ethernet Cable 50 ft White - Flat Internet Network Lan patch cords – Solid Cat6 High Speed Computer wire With clips& Snagless Rj45 Connectors for Router, modem – faster than Cat5e/Cat5 - 50 feet",17.99,https://m.media-amazon.com/images/I/71SooY-ppzL._AC_UY218_.jpg,4.7
https://www.amazon.com/Acer-Predator-i7-9750H-Response-PH315-52-710B/dp/B07YM938TP/ref=sr_1_58?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-58,"Acer Predator Helios 300 Gaming Laptop, Intel Core i7-9750H, GeForce GTX 1660 Ti, 15.6"" Full HD 144Hz Display, 3ms Response Time, 16GB DDR4, 512GB PCIe NVMe SSD, RGB Backlit Keyboard, PH315-52-710B",1129.99,https://m.media-amazon.com/images/I/71os19334GL._AC_UY218_.jpg,4.5
https://www.amazon.com/gcx/-/gfhz/events/?ref=aoy&categoryId=off-to-college&pinnedAsins=B07N6S4SY1,"ASUS VivoBook L203MA Laptop, 11.6” HD Display, Intel Celeron Dual Core CPU, 4GB RAM, 64GB Storage, USB-C, Windows 10 Home In S Mode, Up To 10 Hours Battery Life, One Year of Microsoft 365, L203MA-DS04",,https://m.media-amazon.com/images/I/81o8Tll-5-L._AC_UY218_.jpg,4.2
https://www.amazon.com/LG-27UK850-W-Monitor-Connectivity-FreeSync/dp/B078GVTD9N/ref=sr_1_60?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-60,"LG 27UK850-W 27"" 4K UHD IPS Monitor with HDR10 with USB Type-C Connectivity and FreeSync, White",405.52,https://m.media-amazon.com/images/I/718ICn8vZTL._AC_UY218_.jpg,4.4
https://www.amazon.com/AmazonBasics-Lightning-Advanced-Collection-Certified/dp/B0753G7SJ5/ref=sr_1_61?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-61,"AmazonBasics Double Braided Nylon Lightning to USB Cable, Advanced Collection, MFi Certified Apple iPhone Charger, Dark Gray, 10 Feet",16.6,https://m.media-amazon.com/images/I/81T2DGhCZlL._AC_UY218_.jpg,4.5
https://www.amazon.com/gcx/-/gfhz/events/?ref=aoy&categoryId=off-to-college&pinnedAsins=B07P5PRK7J,"TP-Link USB Wifi Adapter for PC AC600Mbps Wireless Network Adapter for Desktop with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna, Supports Windows 10/8.1/8/7/XP, Mac OS 10.9-10.14 (Archer T2U Plus)",19.99,https://m.media-amazon.com/images/I/51NglhWTZnL._AC_UY218_.jpg,4.4
https://www.amazon.com/HP-Pavilion-21-5-Inch-Monitor-22cwa/dp/B015WCV70W/ref=sr_1_63?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-63,"HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black",,https://m.media-amazon.com/images/I/81HX5N0RPWL._AC_UY218_.jpg,4.5
https://www.amazon.com/Acer-2-Touch-Screen-Chromebook-CP311-1HN-C2D/dp/B07C715KLH/ref=sr_1_64?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-64,"Acer Chromebook Spin 11 Convertible Laptop, Intel Celeron N3350, 11.6"" HD Touch Display, 4GB DDR4, 32GB eMMC, 802.11ac WiFi, Wacom EMR Pen, Sleeve, CP311-1HN-C2DV",,https://m.media-amazon.com/images/I/81A+5GaY1EL._AC_UY218_.jpg,4.6
https://www.amazon.com/TP-Link-AC1200-Smart-WiFi-Router/dp/B07N1L5HX1/ref=sr_1_81?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-81,"TP-Link AC1200 Gigabit Smart WiFi Router - 5GHz Gigabit Dual Band MU-MIMO Wireless Internet Router, Supports Beamforming, Guest WiFi and AP mode, Long Range Coverage by 4 Antennas(Archer A6), Black",49.99,https://m.media-amazon.com/images/I/61vPhw-7BxL._AC_UY218_.jpg,4.4
https://www.amazon.com/TP-Link-AC1200-Smart-WiFi-Router/dp/B07N1L5HX1/ref=sr_1_81?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-81,"TP-Link AC1200 Gigabit Smart WiFi Router - 5GHz Gigabit Dual Band MU-MIMO Wireless Internet Router, Supports Beamforming, Guest WiFi and AP mode, Long Range Coverage by 4 Antennas(Archer A6), Black",49.99,https://m.media-amazon.com/images/I/61vPhw-7BxL._AC_UY218_.jpg,4.4
https://www.amazon.com/gcx/-/gfhz/events/?ref=aoy&categoryId=off-to-college&pinnedAsins=B07VP5X239,"WD 5TB My Passport Portable External Hard Drive, Black - WDBPKJ0050BBK-WESN",107.99,https://m.media-amazon.com/images/I/51Vx3HTs-wL._AC_UY218_.jpg,4.5
https://www.amazon.com/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B07D1XCKWW/ref=sr_1_83?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-83,"Corsair Vengeance RGB PRO 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - Black, CMW16GX4M2C3200C16",82.99,https://m.media-amazon.com/images/I/71Kkm5nIRKL._AC_UY218_.jpg,4.8
https://www.amazon.com/NETGEAR-WiFi-Range-Extender-EX2800/dp/B083R3QFHM/ref=sr_1_84?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-84,NETGEAR WiFi Range Extender EX2800 - Coverage up to 1200 sq.ft. and 20 devices,38.47,https://m.media-amazon.com/images/I/51hINoMSj2L._AC_UY218_.jpg,4.1
https://www.amazon.com/Dell-452-BCYT-D6000-Universal-Black/dp/B071YTQBXM/ref=sr_1_85?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-85,"Dell 452-BCYT D6000 Universal Dock, Black, Single",,https://m.media-amazon.com/images/I/71E9yyx0pbL._AC_UY218_.jpg,4.3
https://www.amazon.com/NETGEAR-Nighthawk-6-Stream-Router-RAX50/dp/B082X17B8P/ref=sr_1_86?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-86,"NETGEAR Nighthawk 6-Stream AX5400 WiFi 6 Router (RAX50) - AX5400 Tri-Band Wireless Speed (Up to 5.4 Gbps) | 2,000 sq. ft. Coverage",299.99,https://m.media-amazon.com/images/I/61M5ky0UvCL._AC_UY218_.jpg,4.1
https://www.amazon.com/AmazonBasics-Lightning-USB-Cable-Certified/dp/B07DC9SBLQ/ref=sr_1_87?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-87,AmazonBasics MFi-Certified Lightning to USB A Cable for Apple iPhone and iPad - 6 Feet (1.8 Meters) - 2 -Pack - White,17.99,https://m.media-amazon.com/images/I/613Wvm+VqKL._AC_UY218_.jpg,4.4
https://www.amazon.com/Brother-Genuine-Cartridge-TN450-Replacement/dp/B003YFHCKY/ref=sr_1_88?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-88,"Brother Genuine High Yield Toner Cartridge, TN450, Replacement Black Toner, Page Yield Up To 2,600 Pages",55.49,https://m.media-amazon.com/images/I/81zrMpFHclL._AC_UY218_.jpg,4.6
https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B07RM39V5F/ref=sr_1_89?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-89,Corsair Vengeance LPX 16GB (2 X 8GB) DDR4 3600 (PC4-28800) C18 1.35V Desktop Memory - Black,63.99,https://m.media-amazon.com/images/I/518T3hrUY4L._AC_UY218_.jpg,4.8
https://www.amazon.com/Ethernet-Splitter-Optimization-Unmanaged-TL-SG108/dp/B00A121WN6/ref=sr_1_90?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-90,TP-Link 8 Port Gigabit Ethernet Network Switch | Ethernet Splitter | Plug and Play | Fanless | Sturdy Metal w/ Shielded Ports | Traffic Optimization | Unmanaged | Lifetime Protection (TL-SG108),18.99,https://m.media-amazon.com/images/I/71+bqPCPpIL._AC_UY218_.jpg,4.7
https://www.amazon.com/Turtle-Beach-compatible-controller-Playstation-4/dp/B00YXO5UKY/ref=sr_1_91?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-91,Turtle Beach - Ear Force Recon 50P Stereo Gaming Headset - PS4 and Xbox One (compatible w/ Xbox One controller w/ 3.5mm Headset Jack),24.95,https://m.media-amazon.com/images/I/81dh8R950eL._AC_UY218_.jpg,4.4
https://www.amazon.com/ViewSonic-VX3276-MHD-Frameless-Widescreen-DisplayPort/dp/B0787WGCXT/ref=sr_1_92?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-92,ViewSonic VX3276-MHD 32 Inch 1080p Frameless Widescreen IPS Monitor with Screen Split Capability HDMI and DisplayPort,199.99,https://m.media-amazon.com/images/I/516Vq6aI-JL._AC_UY218_.jpg,4.5
https://www.amazon.com/Webcam-Streaming-Recording-Built-Correction/dp/B07M6Y7355/ref=sr_1_93?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-93,"Webcam 1080p – eMeet C960 Full HD Webcam with Microphone for Video Calling, Built-in 2 Mics Ideal Streaming Webcam, 90°Wide-Angle View, USB Webcam Plug and Play, Low-Light Correction and Fixed Focus",59.99,https://m.media-amazon.com/images/I/61NKqp2mubL._AC_UY218_.jpg,4.3
https://www.amazon.com/TAKAGI-Charging-Connector-Transfer-Compatible/dp/B07PHSF8DP/ref=sr_1_94?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-94,TAKAGI for iPhone Charger 3PACK 6Feet Extra Long Nylon Braided USB Charging Lightning Cable High Speed Connector Data Sync Transfer Cord Compatible with iPhone 11 Pro Max XS XR X 8 7 Plus 6S 6 SE,9.96,https://m.media-amazon.com/images/I/61LfU+6b8dL._AC_UY218_.jpg,3.8
https://www.amazon.com/gcx/-/gfhz/events/?ref=aox&categoryId=happy-school-year&pinnedAsins=B0027JBLV4,"DYMO Label Printer | LabelWriter 450 Direct Thermal Label Printer, Great for Labeling, Filing, Mailing, Barcodes and More, Home & Office Organization",76.14,https://m.media-amazon.com/images/I/71uK8ah4kkL._AC_UY218_.jpg,4.5
https://www.amazon.com/NEW-Microsoft-Surface-Dock-2/dp/B086Q92563/ref=sr_1_96?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-96,NEW Microsoft Surface Dock 2,179.99,https://m.media-amazon.com/images/I/61325VnwoTL._AC_UY218_.jpg,4.5
